model_name,type_of_training,test_accuracy,parameter_name,parameter,timestamp,description
lgb_model.pickle, None,0.656696915,,None,None,Best model
20221102-125449-re_train_lgb_model.pickle,re-training,0.675675676,20221102-125449-re_train_lgb_parameter.txt,"<bound method LGBMModel.get_params of LGBMClassifier(learning_rate=0.10984644713678246, max_depth=1,               min_data_in_leaf=96, num_leaves=21)>",54:40.4,Best model

,,,,,2022-11-02 21:03:50.135504,No data
20221102-212717-transfer_lgbm_model.pickle,transfer-learning,0.7,20221102-125449-re_train_lgb_parameter.txt,"<bound method LGBMModel.get_params of LGBMClassifier(learning_rate=0.10984644713678246, max_depth=1,               min_data_in_leaf=96, num_leaves=21)>",2022-11-02 21:26:51.219669,Best model
20221102-212716-re_train_lgb_model.pickle,re-training,0.68,20221102-212716-re_train_lgb_parameter.txt,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.10984644713678246, 'max_depth': 1, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 21, 'objective': None, 'random_state': None, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'min_data_in_leaf': 96}",2022-11-02 21:26:51.219669,
20221102-214337-re_train_lgb_model.pickle,re-training,0.68,20221102-214337-re_train_lgb_parameter.txt,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.10984644713678246, 'max_depth': 1, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 21, 'objective': None, 'random_state': None, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'min_data_in_leaf': 96}",2022-11-02 21:43:13.581372,
20221102-214336-transfer_lgbm_model.pickle,transfer-learning,0.68,20221102-125449-re_train_lgb_parameter.txt,"<bound method LGBMModel.get_params of LGBMClassifier(learning_rate=0.10984644713678246, max_depth=1,               min_data_in_leaf=96, num_leaves=21)>",2022-11-02 21:43:13.581372,
20221102-215017-re_train_lgb_model.pickle,re-training,0.68,20221102-215017-re_train_lgb_parameter.txt,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.10984644713678246, 'max_depth': 1, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 21, 'objective': None, 'random_state': None, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'min_data_in_leaf': 96}",2022-11-02 21:49:51.982107,
20221102-215017-transfer_lgbm_model.pickle,transfer-learning,0.68,20221102-125449-re_train_lgb_parameter.txt,"<bound method LGBMModel.get_params of LGBMClassifier(learning_rate=0.10984644713678246, max_depth=1,               min_data_in_leaf=96, num_leaves=21)>",2022-11-02 21:49:51.982107,
20221102-220610-transfer_lgbm_model.pickle,transfer-learning,0.82,20221102-125449-re_train_lgb_parameter.txt,"<bound method LGBMModel.get_params of LGBMClassifier(learning_rate=0.10984644713678246, max_depth=1,               min_data_in_leaf=96, num_leaves=21)>",2022-11-02 22:05:36.792383,Best model
